Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Vereador Luiz Gonzaga Ferreira;Jardim Santo André;São Paulo;Mauá;FTTH;08390-540;35 / 50 / 100 / 150 / 300 MB
Rua Vicente Costa Noqueiras;Jardim Santo André;São Paulo;Mauá;FTTH;08390-420;35 / 50 / 100 / 150 / 300 MB
Rua Vila Velha;Jardim Santo André;São Paulo;Mauá;FTTH;08390-090;35 / 50 / 100 / 150 / 300 MB
Rua Elsa Morante;Jardim Santo André;São Paulo;Mauá;FTTH;08390-324;35 / 50 / 100 / 150 / 300 MB
Travessa Alberto Calvo;Jardim Santo André;São Paulo;Mauá;FTTC;08390-312;8 / 12 / 20 / 35 MB
Travessa Edith Evans;Jardim Santo André;São Paulo;Mauá;FTTC;08390-319;8 / 12 / 20 / 35 MB
Travessa fernando cony campos;Jardim Santo André;São Paulo;Mauá;FTTH;08390-315;35 / 50 / 100 / 150 / 300 MB
Travessa Hugo de Souza Lopes;Jardim Santo André;São Paulo;Mauá;FTTH;08390-321;35 / 50 / 100 / 150 / 300 MB
Travessa João José Pompeu ;Jardim Santo André;São Paulo;Mauá;FTTH;08390-322;35 / 50 / 100 / 150 / 300 MB
Travessa Manuel Puig;Jardim Santo André;São Paulo;Mauá;FTTC;08390-311;8 / 12 / 20 / 35 MB
Travessa Mar da Galiléia;Jardim São Francisco;São Paulo;Mauá;FTTC;08390-326;8 / 12 / 20 / 35 MB
Travessa mar de creta;Jardim Santo André;São Paulo;Mauá;FTTH;08390-325;35 / 50 / 100 / 150 / 300 MB
Travessa Olímpio de Sousa Andrade;Jardim Santo André;São Paulo;Mauá;FTTC;08390-316;8 / 12 / 20 / 35 MB
Rua Aguarico;Jardim Helena;São Paulo;Mauá;FTTH;08371-150;35 / 50 / 100 / 150 / 300 MB
Rua Almeida Falcão;Jardim Helena;São Paulo;Mauá;FTTH;08371-190;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Assunção Ferreira;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-360;35 / 50 / 100 / 150 / 300 MB
Rua Antonio Cardoso Coelho ;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-365;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Coutinho;Jardim Helena;São Paulo;Mauá;FTTC;08371-200;8 / 12 / 20 / 35 MB
Rua Antônio de Jaboatão;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-200;35 / 50 / 100 / 150 / 300 MB
Rua Antonio Pavão;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-070;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Ribeiro Sanches ;Jardim São Gonçalo ;São Paulo;Mauá;FTTH;08370-130;35 / 50 / 100 / 150 / 300 MB
Rua Arinos ;Jardim Helena;São Paulo;Mauá;FTTH;08371-180;35 / 50 / 100 / 150 / 300 MB
Rua Brasilíndio ;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-395;35 / 50 / 100 / 150 / 300 MB
Rua Capoaba;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-230;35 / 50 / 100 / 150 / 300 MB
Rua Chafariz de Pedra;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-120;35 / 50 / 100 / 150 / 300 MB
Rua Chaime ;Jardim São Gonçalo;São Paulo;Mauá;FTTH;08370-180;35 / 50 / 100 / 150 / 300 MB
Rua Correia Lopes;Jardim São Gonçalo;São Paulo;Mauá;FTTH;08370-140;35 / 50 / 100 / 150 / 300 MB
Rua Cricare;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-370;35 / 50 / 100 / 150 / 300 MB
Rua Curumatim;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-240;35 / 50 / 100 / 150 / 300 MB
Rua Daniel de Carvalho;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-355;35 / 50 / 100 / 150 / 300 MB
Rua José Pardo;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-250;35 / 50 / 100 / 150 / 300 MB
Rua Dias Arenso;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-060;35 / 50 / 100 / 150 / 300 MB
Rua Diogo Garcia;Parque Boa Esperança;São Paulo;Mauá;FTTH;08370-030;35 / 50 / 100 / 150 / 300 MB
Rua Diogo Munhoz;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-170;35 / 50 / 100 / 150 / 300 MB
Rua Duarte Machado ;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-050;35 / 50 / 100 / 150 / 300 MB
Rua Embitiba;Jardim São Gonçalo;São Paulo;Mauá;FTTH;08370-200;35 / 50 / 100 / 150 / 300 MB
Rua Florentino de Lima;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-210;35 / 50 / 100 / 150 / 300 MB
Rua Floriano Miranda;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-390;35 / 50 / 100 / 150 / 300 MB
Rua Fortim do Descalvado;Jardim Helena;São Paulo;Mauá;FTTH;08371-060;35 / 50 / 100 / 150 / 300 MB
Rua Fortim Itapoã;Jardim Helena;São Paulo;Mauá;FTTH;08371-210;35 / 50 / 100 / 150 / 300 MB
Rua Francisco de Melo Palheta - até 885;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-000;35 / 50 / 100 / 150 / 300 MB
Rua Francisco de Melo Palheta - de 1160/1161 ao fim;Parque Boa Esperança;São Paulo;Mauá;FTTC;08341-235;8 / 12 / 20 / 35 MB
Rua Francisco de Melo Palheta - de 650/651 a 1158/1159;Parque Boa Esperança;São Paulo;Mauá;FTTC;08341-280;8 / 12 / 20 / 35 MB
Rua Francisco de Mendonça;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-030;35 / 50 / 100 / 150 / 300 MB
Rua Gabriele Martinengo;Jardim Augusto;São Paulo;Mauá;FTTH;08371-080;35 / 50 / 100 / 150 / 300 MB
Rua Gaspar Guedes;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-160;35 / 50 / 100 / 150 / 300 MB
Rua Geraldo Cubas;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-100;35 / 50 / 100 / 150 / 300 MB
Rua Gerônimo Maria Costa;Jardim Augusto;São Paulo;Mauá;FTTH;08371-140;35 / 50 / 100 / 150 / 300 MB
Rua Giácomo Armani ;Parque Boa Esperança;São Paulo;Mauá;FTTC;08341-270;8 / 12 / 20 / 35 MB
Rua Giovani Pacini ;Jardim Augusto;São Paulo;Mauá;FTTH;08371-090;35 / 50 / 100 / 150 / 300 MB
Rua Giovanni Lomazzo;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-110;35 / 50 / 100 / 150 / 300 MB
Rua Gregório Batista;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-260;35 / 50 / 100 / 150 / 300 MB
Rua Heliodoro de Paiva ;Jardim Augusto;São Paulo;Mauá;FTTH;08371-100;35 / 50 / 100 / 150 / 300 MB
Rua Ibiacica;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-400;35 / 50 / 100 / 150 / 300 MB
Rua Igupiara;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-220;35 / 50 / 100 / 150 / 300 MB
Rua Ilha da Queimada;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-150;35 / 50 / 100 / 150 / 300 MB
Rua Jacinto Valedor ;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-040;35 / 50 / 100 / 150 / 300 MB
Rua Jequiriçá;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-350;35 / 50 / 100 / 150 / 300 MB
Rua Jesuino do Monte Carmelo;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-295;35 / 50 / 100 / 150 / 300 MB
Rua João Carlos Ferreira 1 ate 164;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-385;35 / 50 / 100 / 150 / 300 MB
Rua João Crispiniano Soares;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-010;35 / 50 / 100 / 150 / 300 MB
Rua João Lobo;Parque Boa Esperança;São Paulo;Mauá;FTTC;08341-340;8 / 12 / 20 / 35 MB
Rua João Macedo ;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-380;35 / 50 / 100 / 150 / 300 MB
Rua João Maciel;Jardim São Gonçalo;São Paulo;Mauá;FTTH;08370-170;35 / 50 / 100 / 150 / 300 MB
Rua Lope Alberdi ;Jardim Augusto;São Paulo;Mauá;FTTH;08371-110;35 / 50 / 100 / 150 / 300 MB
Rua Lopes França;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-140;35 / 50 / 100 / 150 / 300 MB
Rua Lorenzo Penna;Jardim Helena;São Paulo;Mauá;FTTH;08371-160;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Henrique de Paiva;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-080;35 / 50 / 100 / 150 / 300 MB
Rua Matias Lopes;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-285;35 / 50 / 100 / 150 / 300 MB
Rua Menino Deus;Jardim São Gonçalo;São Paulo;Mauá;FTTH;08370-150;35 / 50 / 100 / 150 / 300 MB
Rua Minas de Santa Fé;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-335;35 / 50 / 100 / 150 / 300 MB
Rua Morro do Frade;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-180;35 / 50 / 100 / 150 / 300 MB
Rua Morro do Ouro;Parque Boa Esperança;São Paulo;Mauá;FTTH;08371-300;35 / 50 / 100 / 150 / 300 MB
Rua Nicola Conforto;Jardim Augusto;São Paulo;Mauá;FTTH;08371-130;35 / 50 / 100 / 150 / 300 MB
Rua Oronzo Mastrorosa ;Jardim São Gonçalo;São Paulo;Mauá;FTTH;08370-210;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Cabral;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-375;35 / 50 / 100 / 150 / 300 MB
Rua Pedro da Esperança;Jardim Augusto;São Paulo;Mauá;FTTH;08371-070;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Leme;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-090;35 / 50 / 100 / 150 / 300 MB
Rua Peruna;Jardim Helena;São Paulo;Mauá;FTTH;08371-170;35 / 50 / 100 / 150 / 300 MB
Rua Pindaré;Jardim Helena;São Paulo;Mauá;FTTH;08371-250;35 / 50 / 100 / 150 / 300 MB
Rua Primo Baudini;Jardim Augusto;São Paulo;Mauá;FTTH;08371-120;35 / 50 / 100 / 150 / 300 MB
Rua Punaré;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-305;35 / 50 / 100 / 150 / 300 MB
Rua Sebastião Moreira;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-020;35 / 50 / 100 / 150 / 300 MB
Rua Simão Cerqueira;Jardim Helena;São Paulo;Mauá;FTTH;08371-240;35 / 50 / 100 / 150 / 300 MB
Travessa da Leveza;Jardim Helena;São Paulo;Mauá;FTTH;08371-220;35 / 50 / 100 / 150 / 300 MB
TRAVESSA DO PASSEIO;Jardim Helena;São Paulo;Mauá;FTTH;08371-230;35 / 50 / 100 / 150 / 300 MB
Rua Gomes de Lisboa;Parque Boa Esperança;São Paulo;Mauá;FTTH;08341-190;35 / 50 / 100 / 150 / 300 MB
Avenida Rodolfo Pirani (FTTC da Rua Julio Cesar Moreira ao fim);Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-000;35 / 50 / 100 / 150 / 300 MB
Rua Bandeira do Guaíra;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-400;35 / 50 / 100 / 150 / 300 MB
Rua Abner de Souza e Silva;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-190;35 / 50 / 100 / 150 / 300 MB
Rua Alexandre de Moura;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-060;35 / 50 / 100 / 150 / 300 MB
Rua Armando Carreira;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-310;35 / 50 / 100 / 150 / 300 MB
Rua Bandeira de Aracambi;Parque São Rafael;São Paulo;Mauá;FTTH;08311-365;35 / 50 / 100 / 150 / 300 MB
Rua Bandeira de Aracambi;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-010;35 / 50 / 100 / 150 / 300 MB
Rua Barros Madureira;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-450;35 / 50 / 100 / 150 / 300 MB
Rua Bento de Almeida Pais;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-180;35 / 50 / 100 / 150 / 300 MB
Rua Cipriano do Brasil;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-300;35 / 50 / 100 / 150 / 300 MB
Rua Dom Bernardo Rodrigues;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-290;35 / 50 / 100 / 150 / 300 MB
Rua Dom Diogo Furtado;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-280;35 / 50 / 100 / 150 / 300 MB
Rua Dona Catarina Velasco;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-040;35 / 50 / 100 / 150 / 300 MB
Rua Fernando Osório;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-270;35 / 50 / 100 / 150 / 300 MB
Travessa Merió;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-580;35 / 50 / 100 / 150 / 300 MB
Rua Edson Carrer Bastos;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-320;35 / 50 / 100 / 150 / 300 MB
Rua Eugênio Oliveira e Silva;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-350;35 / 50 / 100 / 150 / 300 MB
Rua Euvaldo Loureiro Villaboim;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-170;35 / 50 / 100 / 150 / 300 MB
Rua Fernando Álvares;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-030;35 / 50 / 100 / 150 / 300 MB
Rua Fernando da Fonseca;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-080;35 / 50 / 100 / 150 / 300 MB
Rua Fortaleza de Bertioga;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-330;35 / 50 / 100 / 150 / 300 MB
Rua Francisco dos Santos Coimbra;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-370;35 / 50 / 100 / 150 / 300 MB
Rua Gaspar Madeira;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-340;35 / 50 / 100 / 150 / 300 MB
Rua Inácio Rodrigues;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-360;35 / 50 / 100 / 150 / 300 MB
Rua José Rodrigues da Motta;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-150;35 / 50 / 100 / 150 / 300 MB
Rua Julio César Moreira;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-160;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Alves Costa;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-070;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Joaquim de Abreu;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-090;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Rebelo e Souza;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-050;35 / 50 / 100 / 150 / 300 MB
Rua Morro das Pedras;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-100;35 / 50 / 100 / 150 / 300 MB
Rua Nelson de Mello Malheiro;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-140;35 / 50 / 100 / 150 / 300 MB
Travessa Acreúna;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-360;35 / 50 / 100 / 150 / 300 MB
Travessa Cachoeira Benfica;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-380;35 / 50 / 100 / 150 / 300 MB
Travessa Cravo Divino;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-420;35 / 50 / 100 / 150 / 300 MB
Travessa da Dispersão  ;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-430;35 / 50 / 100 / 150 / 300 MB
Travessa da Prata ;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-566;35 / 50 / 100 / 150 / 300 MB
Travessa do Frâncio;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-440;35 / 50 / 100 / 150 / 300 MB
Travessa dos Caraibebes;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-400;35 / 50 / 100 / 150 / 300 MB
Travessa Inca Vermelha;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-500;35 / 50 / 100 / 150 / 300 MB
Travessa Lunardo;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-520;35 / 50 / 100 / 150 / 300 MB
Travessa Malva Pavão;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-350;35 / 50 / 100 / 150 / 300 MB
Travessa Meiri;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08311-560;35 / 50 / 100 / 150 / 300 MB
Veloso de Espinha ;Jardim Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-390;35 / 50 / 100 / 150 / 300 MB
Rua Aquário;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-560;8 / 12 / 20 / 35 MB
Rua Áries;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-460;8 / 12 / 20 / 35 MB
Rua Austral;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-350;8 / 12 / 20 / 35 MB
Rua Calixto;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-450;8 / 12 / 20 / 35 MB
Rua Capricórnio;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-405;8 / 12 / 20 / 35 MB
Rua das Estrelas;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-422;8 / 12 / 20 / 35 MB
Rua das Estrelas;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-400;8 / 12 / 20 / 35 MB
Rua Escorpião;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-900;8 / 12 / 20 / 35 MB
Rua Esperança;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-442;8 / 12 / 20 / 35 MB
Rua Galáxia;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-415;8 / 12 / 20 / 35 MB
Rua Ganímedes;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-385;8 / 12 / 20 / 35 MB
Avenida Andrômeda;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-410;8 / 12 / 20 / 35 MB
Rua Gêmeos;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-580;8 / 12 / 20 / 35 MB
Rua Alberto Vieira dos Santos;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-585;8 / 12 / 20 / 35 MB
Rua João de Mendonça ;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-575;8 / 12 / 20 / 35 MB
Rua Leão;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-420;8 / 12 / 20 / 35 MB
Rua Libra;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-370;8 / 12 / 20 / 35 MB
Rua Luiz Barbalho Bezerra;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-330;8 / 12 / 20 / 35 MB
Rua Machado Dutra;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08340-280;8 / 12 / 20 / 35 MB
Rua Manuel da Silveira;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08340-270;8 / 12 / 20 / 35 MB
Rua Martins de Barros;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08340-240;8 / 12 / 20 / 35 MB
Rua Nebulosas;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-430;8 / 12 / 20 / 35 MB
Rua Orlando Augusto da Silva;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08340-260;8 / 12 / 20 / 35 MB
Rua Padre Gonçalves do Vale;Jardim Vila Carrão;São Paulo;Mauá;FTTC;08340-230;8 / 12 / 20 / 35 MB
Rua Peixes;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08340-440;8 / 12 / 20 / 35 MB
Rua Projetada Dois ;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-404;8 / 12 / 20 / 35 MB
Rua Sírius;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-380;8 / 12 / 20 / 35 MB
Rua Sol;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-360;8 / 12 / 20 / 35 MB
Rua Ursa Maior;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-390;8 / 12 / 20 / 35 MB
Rua Via Láctea;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-440;8 / 12 / 20 / 35 MB
Rua Vicente Lopes;Cidade Satélite Santa Bárbara;São Paulo;Mauá;FTTC;08330-600;8 / 12 / 20 / 35 MB
Avenida Baronesa de Muritiba (do N° 108 ao fim - PLANOS SOHO N° 1 ao 1000);Parque São Rafael;São Paulo;Mauá;FTTH;08311-080;35 / 50 / 100 / 150 / 300 MB
Avenida Miguel Motoki Ogushi;Parque São Rafael;São Paulo;Mauá;FTTH;08320-375;35 / 50 / 100 / 150 / 300 MB
Avenida Salvador Jorge Velho ;Parque São Rafael;São Paulo;Mauá;FTTH;08310-480;35 / 50 / 100 / 150 / 300 MB
Praça Oswaldo Luiz da Silveira;Parque São Rafael;São Paulo;Mauá;FTTH;08310-675;35 / 50 / 100 / 150 / 300 MB
Rua Agostinho de Medina;Parque São Rafael;São Paulo;Mauá;FTTH;08311-040;35 / 50 / 100 / 150 / 300 MB
Rua Aldeia de Santo Inácio - até 348/349;Parque São Rafael;São Paulo;Mauá;FTTH;08320-560;35 / 50 / 100 / 150 / 300 MB
Rua Álvaro do Prado;Parque São Rafael;São Paulo;Mauá;FTTH;08311-060;35 / 50 / 100 / 150 / 300 MB
Rua Antônio de Mendonça;Parque São Rafael;São Paulo;Mauá;FTTH;08311-000;35 / 50 / 100 / 150 / 300 MB
Rua Antônio de Morais;Parque São Rafael;São Paulo;Mauá;FTTH;08311-050;35 / 50 / 100 / 150 / 300 MB
Rua Antonio Garcia da Cunha ;Parque São Rafael;São Paulo;Mauá;FTTH;08310-510;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Pereira Machado - até 258/259;Parque São Rafael;São Paulo;Mauá;FTTH;08320-130;35 / 50 / 100 / 150 / 300 MB
Rua Antonio Ramos dos Reis ;Parque São Rafael;São Paulo;Mauá;FTTH;08320-020;35 / 50 / 100 / 150 / 300 MB
Rua Arnaldo Cardia;Parque São Rafael;São Paulo;Mauá;FTTH;08310-230;35 / 50 / 100 / 150 / 300 MB
Rua Bandeira do Rio Grande;Parque São Rafael;São Paulo;Mauá;FTTH;08310-680;35 / 50 / 100 / 150 / 300 MB
Rua Barra de Santo Antônio;Parque São Rafael;São Paulo;Mauá;FTTH;08320-872;35 / 50 / 100 / 150 / 300 MB
Rua Beatriz Bicudo;Parque São Rafael;São Paulo;Mauá;FTTH;08320-250;35 / 50 / 100 / 150 / 300 MB
Rua Bento do Amaral da Silva;Parque São Rafael;São Paulo;Mauá;FTTH;08320-210;35 / 50 / 100 / 150 / 300 MB
Rua Bruna Franchi ;Parque São Rafael;São Paulo;Mauá;FTTH;08320-115;35 / 50 / 100 / 150 / 300 MB
Travessa Música da Boa Noite;Jardim Elizabeth;São Paulo;Mauá;FTTH;08320-640;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Branca;Parque São Rafael;São Paulo;Mauá;FTTH;08320-230;35 / 50 / 100 / 150 / 300 MB
Rua Campeador de Minas;Parque São Rafael;São Paulo;Mauá;FTTH;08320-000;35 / 50 / 100 / 150 / 300 MB
Rua Carlos Belleville;Jardim Buriti;São Paulo;Mauá;FTTH;08320-880;35 / 50 / 100 / 150 / 300 MB
Antiga: Rua Cesar de Mauá / Atual: Travessa Linda Darnell;Parque São Rafael;São Paulo;Mauá;FTTH;08320-630;35 / 50 / 100 / 150 / 300 MB
Rua Clemente Falcão ;Parque São Rafael;São Paulo;Mauá;FTTH;08320-330;35 / 50 / 100 / 150 / 300 MB
Rua Clemente Luís;Parque São Rafael;São Paulo;Mauá;FTTC;08320-060;8 / 12 / 20 / 35 MB
Rua Coruqueamas;Parque São Rafael;São Paulo;Mauá;FTTH;08320-240;35 / 50 / 100 / 150 / 300 MB
Rua Coruqueamas;Parque São Rafael;São Paulo;Mauá;FTTH;08311-330;35 / 50 / 100 / 150 / 300 MB
Rua Cotitambare;Parque São Rafael;São Paulo;Mauá;FTTH;08320-220;35 / 50 / 100 / 150 / 300 MB
Rua Cristóvão País Altero;Parque São Rafael;São Paulo;Mauá;FTTH;08311-100;35 / 50 / 100 / 150 / 300 MB
Rua Ponte do Guaré;Parque São Rafael;São Paulo;Mauá;FTTH;08310-670;35 / 50 / 100 / 150 / 300 MB
Rua Cunha de Carvalho;Parque São Rafael;São Paulo;Mauá;FTTH;08311-110;35 / 50 / 100 / 150 / 300 MB
Rua Diego do Rego Mendonça ;Parque São Rafael;São Paulo;Mauá;FTTH;08320-160;35 / 50 / 100 / 150 / 300 MB
Rua Diogo de Moraes Lara;Parque São Rafael;São Paulo;Mauá;FTTH;08310-200;35 / 50 / 100 / 150 / 300 MB
Rua Dom Giocondo Grotti;Parque São Rafael;São Paulo;Mauá;FTTH;08311-120;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Aristides Ricardo;Parque São Rafael;São Paulo;Mauá;FTTH;08311-270;35 / 50 / 100 / 150 / 300 MB
Rua Emma Beatriz Maria Sofredi;Parque São Rafael;São Paulo;Mauá;FTTH;08311-260;35 / 50 / 100 / 150 / 300 MB
Rua Figueira de Carvalho;Parque São Rafael;São Paulo;Mauá;FTTH;08311-130;35 / 50 / 100 / 150 / 300 MB
Rua Fortaleza de Santiago;Parque São Rafael;São Paulo;Mauá;FTTH;08310-250;35 / 50 / 100 / 150 / 300 MB
Rua Forte de São Gonçalo;Jardim Buriti;São Paulo;Mauá;FTTH;08320-890;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Águiar de Barros;Parque São Rafael;São Paulo;Mauá;FTTH;08320-270;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Lobo;Parque São Rafael;São Paulo;Mauá;FTTH;08311-140;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Marques;Parque São Rafael;São Paulo;Mauá;FTTH;08311-150;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Sutil;Parque São Rafael;São Paulo;Mauá;FTTH;08320-030;35 / 50 / 100 / 150 / 300 MB
Rua Frei Mateus de Assunção;Parque São Rafael;São Paulo;Mauá;FTTH;08320-590;35 / 50 / 100 / 150 / 300 MB
Rua Gérson Azeredo Coutinho;Jardim Buriti;São Paulo;Mauá;FTTH;08320-870;35 / 50 / 100 / 150 / 300 MB
Rua Gomes Marzagão;Parque São Rafael;São Paulo;Mauá;FTTH;08320-300;35 / 50 / 100 / 150 / 300 MB
Rua Gonçalves Ferreira ;Parque São Rafael;São Paulo;Mauá;FTTH;08320-050;35 / 50 / 100 / 150 / 300 MB
Rua Henrique Lobo;Parque São Rafael;São Paulo;Mauá;FTTH;08310-220;35 / 50 / 100 / 150 / 300 MB
